Sample,AverageDepth,ReadLengthR1,ReadLengthR2
SAMPLE1,70.0474,75,75
SAMPLE2,65.7578,75,75
SAMPLE3,63.375,75,75
SAMPLE4,70.9654,75,75
SAMPLE5,69.9653,75,75
SAMPLE6,62.7939,75,75
SAMPLE7,60.4026,75,75
SAMPLE8,62.7957,75,75
SAMPLE9,65.8415,75,75
SAMPLE10,71.0792,75,75
SAMPLE11,79.2468,100,100
SAMPLE12,57.0187,100,100
SAMPLE13,56.8754,100,100
SAMPLE14,56.3643,100,100
SAMPLE15,61.2099,100,100
SAMPLE16,59.6889,100,100
SAMPLE17,67.7888,100,100
SAMPLE18,58.9151,100,100
SAMPLE19,62.619,100,100
SAMPLE20,67.4675,100,100
SAMPLE21,55.3307,150,150
SAMPLE22,64.5386,150,150
SAMPLE23,57.1832,150,150
SAMPLE24,79.1567,150,150
SAMPLE25,54.9026,150,150
SAMPLE26,62.1023,150,150
SAMPLE27,55.8067,150,150
SAMPLE28,61.4498,150,150
SAMPLE29,61.7747,150,150
SAMPLE30,77.7188,150,150
